idProduto,nota,comentario,codcliente,espacoalimentar
675,3,Organic secondary portal,79,5
676,9,User-friendly multi-tasking database,63,1
677,8,Grass-roots uniform definition,53,2
678,9,Secured optimizing support,40,4
679,10,Business-focused web-enabled forecast,51,1
680,2,Digitized logistical infrastructure,73,1
681,10,User-friendly analyzing analyzer,29,4
682,9,Face to face real-time encryption,23,1
683,10,Cloned empowering orchestration,44,4
684,9,Profit-focused object-oriented firmware,43,4
685,5,Customizable optimizing infrastructure,32,3
686,8,Polarised tangible monitoring,97,1
687,2,Visionary hybrid internet solution,6,4
688,8,Object-based transitional methodology,70,2
689,8,Programmable directional data-warehouse,10,3
690,4,Future-proofed motivating paradigm,58,2
691,3,Profound composite Graphic Interface,24,5
692,3,Up-sized systematic circuit,53,1
693,6,Advanced eco-centric conglomeration,92,1
694,8,Exclusive object-oriented budgetary management,87,2
695,4,Expanded coherent intranet,16,4
696,7,Horizontal 24/7 portal,66,2
697,6,Reactive mobile conglomeration,54,3
698,2,Advanced foreground encoding,1,2
699,3,Persevering systematic extranet,21,4
700,4,Polarised zero administration access,18,4
701,10,Customizable zero defect challenge,82,4
702,6,Versatile content-based infrastructure,61,1
703,7,Intuitive well-modulated ability,73,5
704,3,Customer-focused mission-critical task-force,39,2
705,8,Implemented web-enabled application,15,4
706,10,Pre-emptive web-enabled hub,81,2
707,9,Implemented upward-trending ability,67,2
708,10,Object-based dedicated adapter,74,1
709,8,Cross-group mobile encryption,59,5
710,2,Customer-focused tangible protocol,8,2
711,4,Decentralized holistic conglomeration,82,1
712,7,Virtual intangible matrix,57,3
713,10,Organic clear-thinking matrix,14,5
714,2,Self-enabling secondary contingency,43,5
715,6,Profound 5th generation instruction set,0,3
716,10,Optional encompassing artificial intelligence,89,5
717,6,Enterprise-wide explicit help-desk,42,4
718,9,Extended bottom-line local area network,40,4
719,7,Operative secondary software,96,2
720,9,Secured executive throughput,5,5
721,5,Multi-lateral explicit leverage,58,5
722,7,Team-oriented multi-state policy,62,2
723,7,Triple-buffered human-resource info-mediaries,43,3
724,10,Re-engineered full-range software,30,5
725,1,Intuitive multi-state local area network,75,1
726,3,Multi-layered needs-based throughput,60,1
727,2,Networked background service-desk,98,2
728,5,Persistent solution-oriented time-frame,44,5
729,10,Down-sized mission-critical capability,30,3
730,3,Multi-tiered holistic internet solution,89,2
731,7,Proactive motivating archive,76,1
732,10,Business-focused fault-tolerant circuit,62,4
733,2,Total client-driven throughput,39,3
734,2,Future-proofed analyzing framework,2,1
735,7,Total background time-frame,75,2
736,3,Grass-roots zero tolerance Graphic Interface,42,4
737,8,Customizable demand-driven software,63,3
738,1,Face to face well-modulated architecture,21,1
739,10,Intuitive 5th generation data-warehouse,58,5
740,3,Quality-focused logistical solution,1,1
741,8,Polarised cohesive workforce,86,2
742,3,Polarised bi-directional local area network,55,2
743,5,Versatile intangible infrastructure,34,4
744,2,Innovative logistical complexity,98,2
745,9,Polarised radical superstructure,53,4
746,6,Triple-buffered directional flexibility,86,4
747,6,Inverse background hierarchy,71,1
748,6,Reactive upward-trending task-force,2,2
749,10,Programmable real-time support,73,4
750,3,Customizable fresh-thinking analyzer,42,5
751,1,Visionary cohesive encoding,8,1
752,2,Organic executive architecture,39,4
753,5,Integrated transitional throughput,10,1
754,5,Synergistic methodical installation,49,4
755,7,Expanded bi-directional software,51,2
756,7,User-centric interactive flexibility,25,5
757,1,Visionary eco-centric encoding,93,4
758,8,Balanced grid-enabled installation,21,4
759,5,Public-key optimal archive,31,1
760,10,User-centric didactic hardware,52,3
761,2,Reduced high-level standardization,82,2
762,3,Optional eco-centric paradigm,71,1
763,8,Configurable real-time benchmark,10,1
764,5,Decentralized transitional hub,51,5
765,5,Front-line systematic infrastructure,18,3
766,2,Reduced real-time interface,41,4
767,8,Fundamental full-range conglomeration,7,2
768,2,Integrated 5th generation paradigm,71,5
769,4,Pre-emptive user-facing database,69,3
770,9,Synergized logistical implementation,100,1
771,5,Reduced tertiary parallelism,4,5
772,2,Inverse optimal budgetary management,0,4
773,2,Fully-configurable client-server concept,40,2
774,10,Diverse systemic capacity,16,1
775,8,Expanded actuating orchestration,5,3
776,1,Inverse next generation initiative,68,5
777,7,Cross-group asynchronous capacity,81,5
778,9,Managed user-facing strategy,97,3
779,5,Vision-oriented background architecture,70,5
780,5,Persevering executive implementation,23,4
781,1,Ameliorated bottom-line extranet,35,4
782,4,Down-sized scalable access,12,3
783,8,Team-oriented transitional groupware,17,1
784,10,Polarised zero tolerance forecast,75,2
785,6,Advanced intermediate middleware,61,2
786,6,Automated incremental initiative,74,4
787,10,Phased impactful archive,68,2
788,7,Progressive interactive pricing structure,96,1
789,9,Team-oriented composite migration,43,1
790,2,Synergistic secondary capacity,33,2
791,5,Automated mission-critical open architecture,47,4
792,5,Reactive client-driven collaboration,64,4
793,5,Secured local conglomeration,37,2
794,7,Intuitive system-worthy groupware,20,1
795,6,Organized methodical policy,32,4
796,8,Programmable composite initiative,42,5
797,9,Vision-oriented interactive neural-net,29,3
798,10,Re-engineered contextually-based superstructure,70,2
799,9,Centralized explicit throughput,40,2
800,1,Business-focused 3rd generation process improvement,63,5
801,6,Function-based systematic matrices,62,3
802,2,Vision-oriented regional paradigm,5,1
803,9,Multi-channelled interactive process improvement,16,2
804,2,Realigned national flexibility,55,4
805,3,Public-key object-oriented project,90,5
806,6,Synergized transitional archive,88,3
807,9,Mandatory cohesive internet solution,1,3
808,9,Enhanced explicit help-desk,57,1
809,9,Expanded impactful leverage,34,1
810,9,Pre-emptive interactive frame,93,2
811,3,Team-oriented content-based task-force,96,5
812,8,Assimilated systemic knowledge base,45,1
813,1,Face to face attitude-oriented conglomeration,74,3
814,10,Synergistic systemic data-warehouse,23,2
815,1,Digitized bifurcated framework,25,2
816,10,Re-engineered disintermediate function,50,5
817,10,Reactive object-oriented success,70,5
818,2,Extended foreground forecast,81,3
819,3,Universal static encryption,49,5
820,1,Programmable analyzing middleware,17,3
821,6,Reverse-engineered non-volatile knowledge user,16,1
822,1,Integrated eco-centric application,4,4
823,7,Innovative mission-critical concept,29,5
824,7,Enhanced multi-state project,73,2
825,4,Pre-emptive 4th generation help-desk,59,3
826,10,User-centric regional website,45,1
827,4,Grass-roots discrete extranet,40,5
828,4,Assimilated bandwidth-monitored archive,47,2
829,3,Decentralized real-time database,57,2
830,6,Re-contextualized 5th generation encryption,64,2
831,8,Extended scalable projection,75,2
832,5,Sharable attitude-oriented orchestration,12,2
833,9,Profound multi-tasking installation,93,5
834,9,Multi-tiered global structure,64,1
835,3,Decentralized asymmetric application,99,5
836,1,Fundamental 24 hour database,76,4
837,2,Re-engineered systematic project,63,3
838,10,Versatile local utilisation,60,4
839,1,Balanced fresh-thinking intranet,58,1
840,10,Phased empowering structure,57,4
841,5,Optimized tertiary forecast,80,4
842,7,Down-sized empowering forecast,19,2
843,7,Diverse multimedia analyzer,3,4
844,9,Digitized non-volatile superstructure,16,1
845,10,Operative tertiary implementation,96,5
846,8,Business-focused asynchronous implementation,11,4
847,8,Streamlined system-worthy focus group,71,5
848,1,Face to face zero defect monitoring,62,3
849,1,Right-sized coherent hierarchy,33,4
850,7,Virtual directional frame,57,2
851,2,Public-key local analyzer,89,5
852,1,Vision-oriented empowering matrices,49,4
853,6,Advanced multi-tasking analyzer,37,2
854,7,Open-source impactful hub,48,3
855,5,Triple-buffered bifurcated encryption,73,2
856,10,Implemented reciprocal service-desk,57,4
857,1,Universal executive support,87,2
858,6,Monitored responsive customer loyalty,93,4
859,9,Customer-focused demand-driven extranet,28,4
860,1,Implemented context-sensitive encoding,80,2
861,2,User-friendly stable help-desk,100,1
862,2,Multi-channelled composite orchestration,29,4
863,7,Front-line eco-centric frame,54,3
864,5,Future-proofed 6th generation synergy,23,1
865,6,Persistent demand-driven alliance,40,4
866,7,Pre-emptive attitude-oriented collaboration,38,1
867,4,Profit-focused zero administration methodology,15,3
868,7,Robust 5th generation moratorium,49,3
869,10,Customer-focused encompassing groupware,24,5
870,6,Extended scalable definition,27,3
871,3,User-centric optimizing solution,84,4
872,4,Devolved motivating encryption,69,2
873,7,Configurable even-keeled circuit,60,1
874,3,Diverse multi-tasking throughput,86,4
875,4,Team-oriented mobile open architecture,88,3
876,7,Enterprise-wide full-range process improvement,55,2
877,8,Object-based attitude-oriented encoding,36,3
878,1,Streamlined multi-tasking data-warehouse,70,1
879,9,Enhanced solution-oriented capability,62,1
880,7,Open-source empowering flexibility,37,5
881,9,Expanded multi-tasking neural-net,84,5
882,8,Mandatory client-driven monitoring,0,2
883,10,Persevering systematic migration,38,2
884,8,Open-architected needs-based conglomeration,9,3
885,2,Optimized 3rd generation implementation,22,4
886,3,Re-engineered needs-based strategy,79,5
887,1,Multi-tiered national definition,39,3
888,9,Face to face optimizing conglomeration,84,3
889,10,Integrated logistical methodology,1,1
890,3,Universal client-driven toolset,76,2
891,7,Fundamental bottom-line collaboration,31,5
892,9,Inverse object-oriented utilisation,56,2
893,2,Mandatory empowering model,10,3
894,9,Multi-tiered exuding open architecture,10,5
895,8,Multi-tiered disintermediate capacity,12,2
896,3,Extended multimedia local area network,13,5
897,7,Function-based human-resource complexity,45,5
898,4,Vision-oriented client-driven strategy,71,3
899,9,Phased national migration,48,1
900,9,Devolved grid-enabled instruction set,73,1
901,10,Expanded radical pricing structure,98,3
902,3,Total well-modulated orchestration,25,4
903,3,Ameliorated object-oriented local area network,86,4
904,9,Mandatory clear-thinking support,19,2
905,7,Advanced 5th generation implementation,71,2
906,5,Total explicit access,61,2
907,9,Ergonomic upward-trending success,80,2
908,1,Compatible national info-mediaries,68,5
909,8,Operative 24/7 support,77,3
910,7,Enhanced next generation orchestration,86,2
911,10,Cross-group system-worthy support,1,3
912,8,Seamless fresh-thinking archive,43,1
913,6,Front-line transitional productivity,3,2
914,8,Enterprise-wide even-keeled moderator,87,5
915,10,User-friendly tertiary paradigm,68,5
916,6,De-engineered homogeneous strategy,1,3
917,2,Configurable bandwidth-monitored approach,7,2
918,6,Quality-focused full-range forecast,40,5
919,9,Front-line composite access,15,5
920,9,Enhanced needs-based projection,51,5
921,2,Operative client-driven project,18,5
922,10,Pre-emptive stable project,81,5
923,2,Synergistic foreground moderator,75,3
924,8,Distributed user-facing interface,100,1
925,2,Inverse context-sensitive extranet,71,4
926,5,Triple-buffered maximized local area network,37,4
927,7,Virtual impactful success,42,1
928,7,Horizontal heuristic process improvement,90,4
929,6,Cross-platform encompassing leverage,37,5
930,1,Profound responsive hub,90,5
931,7,Multi-tiered encompassing contingency,1,2
932,6,Object-based fault-tolerant groupware,32,2
933,7,Intuitive optimizing benchmark,31,1
934,2,Reduced demand-driven middleware,1,2
935,1,Advanced local access,78,2
936,5,Advanced multimedia service-desk,15,2
937,8,Public-key stable groupware,71,2
938,3,Upgradable zero tolerance conglomeration,94,4
939,8,Universal uniform methodology,17,2
940,6,Reduced empowering emulation,74,5
941,6,Synergistic stable project,57,4
942,7,User-friendly optimal neural-net,93,2
943,8,Fundamental multi-tasking customer loyalty,78,5
944,3,Object-based context-sensitive capacity,23,2
945,5,Universal analyzing complexity,89,4
946,7,Inverse user-facing archive,3,4
947,8,Organized mobile open system,89,2
948,8,Multi-lateral motivating protocol,83,4
949,4,Realigned local service-desk,26,3
950,2,Re-contextualized attitude-oriented access,91,3
951,4,Managed dynamic protocol,14,3
952,8,Reverse-engineered modular infrastructure,74,4
953,6,Open-source dynamic attitude,60,1
954,1,Customer-focused bi-directional paradigm,1,4
955,2,Visionary analyzing artificial intelligence,79,3
956,7,Automated multimedia ability,61,2
957,4,Upgradable tertiary forecast,99,2
958,4,Vision-oriented 6th generation protocol,93,5
959,8,Profit-focused demand-driven ability,72,3
960,7,Assimilated analyzing functionalities,34,2
961,2,Visionary demand-driven implementation,60,1
962,7,Synergistic value-added local area network,67,1
963,7,Polarised responsive capacity,35,2
964,1,Inverse intangible leverage,12,2
965,2,Reactive empowering throughput,77,2
966,8,Adaptive disintermediate extranet,83,5
967,5,Managed 5th generation intranet,85,3
968,3,Optional real-time core,71,2
969,1,Reactive leading edge moderator,44,4
970,6,Fundamental optimizing knowledge user,31,1
971,8,Reactive hybrid customer loyalty,53,1
972,4,Public-key mission-critical synergy,6,4
973,2,Programmable executive instruction set,27,5
974,1,Pre-emptive secondary neural-net,22,4
975,6,Self-enabling 6th generation flexibility,36,3
976,3,Polarised object-oriented extranet,1,1
977,6,Cloned systemic interface,100,1
978,1,Organic 24/7 array,24,4
979,8,Expanded executive functionalities,62,2
980,1,Focused non-volatile database,22,3
981,3,Right-sized logistical intranet,72,3
982,3,Assimilated national core,36,2
983,10,Optimized analyzing support,70,2
984,6,Organized homogeneous intranet,58,2
985,3,User-centric bandwidth-monitored matrix,19,5
986,9,Seamless modular database,11,5
987,10,Self-enabling actuating service-desk,90,4
988,9,Focused dedicated knowledge base,71,3
989,3,Multi-tiered needs-based standardization,99,2
990,9,Cloned 4th generation customer loyalty,38,1
991,2,Organized real-time info-mediaries,18,5
992,10,Streamlined modular workforce,92,5
993,6,Enhanced explicit strategy,46,1
994,10,Assimilated intangible encryption,100,4
995,6,Advanced coherent task-force,21,2
996,9,Focused optimizing knowledge user,13,4
997,3,Face to face multimedia extranet,9,3
998,8,User-centric leading edge policy,67,3
999,4,Centralized mobile initiative,79,3
1000,2,Persistent analyzing application,25,2
